Title,Impact factor,Publisher,Categories
Cardiovascular Therapy and Prevention (Russian Federation),,,
Cardiovascular Toxicology,,,
Cardiovascular Ultrasound,,,
Career Development and Transition for Exceptional Individuals,,,
Career Development International,,,
Career Development Quarterly,,,
Caribbean Geography,,,
Caribbean Journal of Science,,,
Caribbean Quarterly,,,
Caries Research,,,
Caritas et Veritas,,,
Carnets de Geologie,,,
Carpathian Journal of Earth and Environmental Sciences,,,
Carpathian Journal of Food Science and Technology,,,
Carpathian Journal of Mathematics,,,
Carpathian Mathematical Publications,,,
Carrefours de l'Education,,,
Carreteras,,,
"CarSys 2017 - Proceedings of the 2nd ACM International Workshop on Smart	 Autonomous	 and Connected Vehicular Systems and Services	 co-located with MobiCom 2017",,,
Carte e la Storia,,,
Carthaginensia,,,
Cartilage,,,
Cartographic Journal,,,
Cartographic Perspectives,,,
Cartographica,,,
Cartography and Geographic Information Science,,,
Caryologia,,,
CASE Journal,,,
Case Reports in Anesthesiology,,,
Case Reports in Cardiology,,,
Case Reports in Dentistry,,,
Case Reports in Dermatology,,,
Case Reports in Endocrinology,,,
Case Reports in Gastroenterology,,,
Case Reports in Immunology,,,
Case Reports in Medicine,,,
Case Reports in Nephrology and Dialysis,,,
Case Reports in Neurology,,,
Case Reports in Oncological Medicine,,,
Case Reports in Oncology,,,
Case Reports in Ophthalmology,,,
Case Reports in Psychiatry,,,
Case Reports in Veterinary Medicine,,,
Case Reports in Women's Health,,,
Case Studies in Construction Materials,,,
Case Studies in Engineering Failure Analysis,,,
Case Studies in Fire Safety,,,
Case Studies in Structural Engineering,,,
Case Studies in Thermal Engineering,,,
Case Studies on Transport Policy,,,
Casopis Lekaru Ceskych,,,
Casopis Matice moravske (1968),,,
Casopis pro Moderni Filologii,,,
Casopis pro Pravni Vedu a Praxi,,,
Casopis za Suvremenu Povijest,,,
Caspian Journal of Environmental Sciences,,,
Caspian Journal of Internal Medicine,,,
Castanea,,,
Castilla Estudios de Literatura,,,
Catalan Historical Review,,,
Catalan Journal of Communication and Cultural Studies,,,
Catalan Journal of Linguistics,,,
Catalan Review,,,
Cataloging and Classification Quarterly,,,
Catalysis,,,
Catalysis and Reaction Engineering Division 2017 - Core Programming Area at the 2017 AIChE Annual Meeting,,,
Catalysis and Reaction Engineering Division 2018 - Core Programming Area at the 2018 AIChE Annual Meeting,,,
Catalysis Communications,,,
Catalysis in Industry,,,
Catalysis Letters,,,
Catalysis Reviews - Science and Engineering,,,
Catalysis Science and Technology,,,
Catalysis Surveys from Asia,,,
Catalysis Today,,,
"Catalysis	 Structure and Reactivity",,,
Catalysts,,,
Catalytic Science Series,,,
Categories and General Algebraic Structures with Applications,,,
Catena,,,
Catheterization and Cardiovascular Interventions,,,
Catholic Historical Review,,,
Catholic University Law Review,,,
Catholica,,,
Cato Journal,,,
Cattle Practice,,,
Caucasus Survey,,,
Cauriensia,,,
Cave and Karst Science,,,
CBE Life Sciences Education,,,
CBMS-NSF Regional Conference Series in Applied Mathematics,,,
CC 2020 - Proceedings of the 29th International Conference on Compiler Construction,,,
"CCCG 2017 - 29th Canadian Conference on Computational Geometry	 Proceedings",,,
CCPS Middle East Process Safety Conference 2017,,,
"CCSW 2017 - Proceedings of the 2017 Cloud Computing Security Workshop	 co-located with CCS 2017",,,
CEA 2019 - Proceedings of the 11th Workshop on Multimedia for Cooking and Eating Activities,,,
CEA Critic,,,
CEAS Aeronautical Journal,,,
CEAS Space Journal,,,
Cedille,,,
Celebrity Studies,,,
Celestial Mechanics and Dynamical Astronomy,,,
Cell,,,
Cell Adhesion and Migration,,,
Cell and Bioscience,,,
Cell and Organ Transplantology,,,
Cell and Tissue Banking,,,
Cell and Tissue Biology,,,
Cell and Tissue Research,,,
Cell Biochemistry and Biophysics,,,
Cell Biochemistry and Function,,,
Cell Biology and Toxicology,,,
Cell Biology International,,,
Cell Calcium,,,
Cell Communication and Adhesion,,,
Cell Communication and Signaling,,,
Cell Cycle,,,
Cell Death and Differentiation,,,
Cell Death and Disease,,,
Cell Death Discovery,,,
Cell Discovery,,,
Cell Division,,,
Cell Host and Microbe,,,
Cell Journal,,,
Cell Metabolism,,,
Cell Proliferation,,,
Cell Regeneration,,,
Cell Reports,,,
Cell Research,,,
Cell Stem Cell,,,
Cell Stress and Chaperones,,,
Cell Structure and Function,,,
Cell Surface,,,
Cell Systems,,,
Cell Transplantation,,,
Cells,,,
Cells Tissues Organs,,,
Cellular and Molecular Bioengineering,,,
Cellular and Molecular Biology,,,
Cellular and Molecular Biology Letters,,,
Cellular and Molecular Gastroenterology and Hepatology,,,
Cellular and Molecular Immunology,,,
Cellular and Molecular Life Sciences,,,
Cellular and Molecular Neurobiology,,,
Cellular Immunology,,,
Cellular Microbiology,,,
Cellular oncology (Dordrecht),,,
Cellular Physiology and Biochemistry,,,
Cellular Polymers,,,
Cellular Reprogramming,,,
Cellular Signalling,,,
Cellular Therapy and Transplantation,,,
Cellulose,,,
Cellulose Chemistry and Technology,,,
Celulosa Y Papel,,,
CEM 2017 - 2017 Computing and Electromagnetics International Workshop,,,
Cement and Concrete Composites,,,
Cement and Concrete Research,,,
Cement International,,,
"Cement	 Wapno	 Beton",,,
"CEMi 2018 - International Workshop on Computing	 Electromagnetics	 and Machine Intelligence",,,
Centaurus,,,
Center for Educational Policy Studies Journal,,,
Center for Oceans Law and Policy,,,
Central Asia and the Caucasus,,,
Central Asian Survey,,,
Central Asiatic Journal,,,
Central Bank Review,,,
Central Europe,,,
Central European Business Review,,,
Central European Forestry Journal,,,
Central European Geology,,,
Central European History,,,
Central European Journal of Communication,,,
Central European Journal of Economic Modelling and Econometrics,,,
Central European Journal of Energetic Materials,,,
Central European Journal of International and Security Studies,,,
Central European Journal of Nursing and Midwifery,,,
Central European Journal of Operations Research,,,
Central European Journal of Paediatrics,,,
Central European Journal of Public Health,,,
Central European Journal of Public Policy,,,
Central European Journal of Sport Sciences and Medicine,,,
Central European Journal of Urology,,,
Central Nervous System Agents in Medicinal Chemistry,,,
Central-European Journal of Immunology,,,
Centro Journal,,,
CEPAL Review,,,
Cephalalgia,,,
Cephalalgia Reports,,,
Ceramic Engineering and Science Proceedings,,,
Ceramic Transactions,,,
Ceramica,,,
Ceramics - Art and Perception,,,
Ceramics - Silikaty,,,
Ceramics International,,,
Cercles,,,
Cereal Chemistry,,,
Cereal Foods World,,,
Cereal Research Communications,,,
Cerebellum,,,
Cerebellum and Ataxias,,,
Cerebral Cortex,,,
Cerebrovascular Diseases,,,
Cerebrovascular Diseases Extra,,,
"CERN Accelerator School: Power Converters	 CAS 2014 - Proceedings",,,
CERN IdeaSquare Journal of Experimental Innovation,,,
CERN Yellow Reports: School Proceedings,,,
Cerne,,,
CESifo DICE Report,,,
CESifo Economic Studies,,,
CESifo Forum,,,
Ceska a Slovenska Farmacie,,,
Ceska a Slovenska Neurologie a Neurochirurgie,,,
Ceska a Slovenska Oftalmologie,,,
Ceska a Slovenska Psychiatrie,,,
Ceska Gynekologie,,,
Ceska Literatura,,,
Ceska Radiologie,,,
Cesko-Slovenska Dermatologie,,,
Ceskoslovenska Patologie,,,
Cesko-Slovenska Pediatrie,,,
Ceskoslovenska Psychologie,,,
Cesky Casopis Historicky,,,
Cesky Lid,,,
CEUR Workshop Proceedings,,,
CFD Letters,,,
"CFI	 Ceramic Forum International/Berichte der DKG (Deutsche Keramische Gesellschaft)",,,
"CGNCC 2016 - 2016 IEEE Chinese Guidance	 Navigation and Control Conference",,,
CGO 2017 - Proceedings of the 2017 International Symposium on Code Generation and Optimization,,,
CGO 2019 - Proceedings of the 2019 IEEE/ACM International Symposium on Code Generation and Optimization,,,
CGO 2020 - Proceedings of the 18th ACM/IEEE International Symposium on Code Generation and Optimization,,,
Chalcogenide Letters,,,
"Challenges for Technology Innovation: An Agenda for the Future - Proceedings of the International Conference on Sustainable Smart Manufacturing	 S2M 2016",,,
Challenges in Sustainability,,,
"Challenging Glass 6: Conference on Architectural and Structural Applications of Glass	 CGC 2018 - Proceedings",,,
Chang'an Daxue Xuebao (Ziran Kexue Ban)/Journal of Chang'an University (Natural Science Edition),,,
Change Management,,,
Change Over Time,,,
Changing English,,,
Changing Societies and Personalities,,,
Changjiang Liuyu Ziyuan Yu Huanjing/Resources and Environment in the Yangtze Valley,,,
Channels,,,
"CHANTS 2017 - Proceedings of the 12th Workshop on Challenged Networks	 co-located with MobiCom 2017",,,
Chaos,,,
"CHAOS 2011 - 4th Chaotic Modeling and Simulation International Conference	 Proceedings",,,
CHAOS 2014 - Proceedings: 7th Chaotic Modeling and Simulation International Conference,,,
CHAOS 2017 - Proceedings: 10th Chaotic Modeling and Simulation International Conference,,,
"Chaos	 Solitons and Fractals",,,
"Chaos	 Solitons and Fractals: X",,,
"Charging and Infrastructure Symposium 2018	 Held at AABC Europe 2018",,,
Chasqui,,,
Chateau Gaillard,,,
"Chaucer Review	 The",,,
Chebyshevskii Sbornik,,,
Check List,,,
Chelonian Conservation and Biology,,,
Chelyabinsk Physical and Mathematical Journal,,,
Chem,,,
Chem-Bio Informatics Journal,,,
ChemBioChem,,,
ChemBioEng Reviews,,,
ChemCatChem,,,
ChemElectroChem,,,
ChemEngineering,,,
Chemical and Biochemical Engineering Quarterly,,,
Chemical and Biological Technologies in Agriculture,,,
Chemical and Engineering News,,,
Chemical and Petroleum Engineering (English translation of Khimicheskoe i Neftyanoe Mashinostroenie),,,
Chemical and Pharmaceutical Bulletin,,,
Chemical and Process Engineering - Inzynieria Chemiczna i Procesowa,,,
Chemical Biology and Drug Design,,,
Chemical Biology Letters,,,
Chemical Communications,,,
Chemical Data Collections,,,
Chemical Engineer,,,
Chemical Engineering and Processing: Process Intensification,,,
Chemical Engineering and Technology,,,
Chemical Engineering Communications,,,
Chemical Engineering Journal,,,
Chemical Engineering Research and Design,,,
Chemical Engineering Science,,,
Chemical Engineering Science: X,,,
Chemical Engineering Transactions,,,
Chemical Engineering World,,,
Chemical Fibers International,,,
Chemical Geology,,,
Chemical Industry and Chemical Engineering Quarterly,,,
Chemical Modelling,,,
Chemical Papers,,,
Chemical Physics,,,
Chemical Physics Letters,,,
Chemical Physics Letters: X,,,
Chemical Processing,,,
Chemical Product and Process Modeling,,,
Chemical Record,,,
Chemical Research in Chinese Universities,,,
Chemical Research in Toxicology,,,
Chemical Reviews,,,
Chemical Science,,,
Chemical Senses,,,
Chemical Society Reviews,,,
Chemicke Listy,,,
Chemico-Biological Interactions,,,
Chemie der Erde,,,
Chemie in Unserer Zeit,,,
Chemie-Ingenieur-Technik,,,
Chemija,,,
Chemist,,,
Chemistry - A European Journal,,,
Chemistry - An Asian Journal,,,
Chemistry and Biodiversity,,,
Chemistry and Chemical Technology,,,
Chemistry and Ecology,,,
Chemistry and Industry (London),,,
"Chemistry and Materials for Lead-Based Batteries Symposium 2018	 Held at AABC Europe 2018",,,
Chemistry and Physics of Lipids,,,
Chemistry and Technology of Fuels and Oils,,,
Chemistry Central Journal,,,
Chemistry Education Research and Practice,,,
Chemistry Journal of Moldova,,,
Chemistry Letters,,,
Chemistry of Heterocyclic Compounds,,,
Chemistry of Materials,,,
Chemistry of Natural Compounds,,,
Chemistry World,,,
"Chemistry	 Didactics	 Ecology	 Metrology",,,
ChemistryOpen,,,
ChemistrySelect,,,
ChemMedChem,,,
ChemNanoMat,,,
Chemoecology,,,
Chemometrics and Intelligent Laboratory Systems,,,
Chemosensors,,,
Chemosensory Perception,,,
Chemotherapy,,,
ChemPhotoChem,,,
ChemPhysChem,,,
ChemPlusChem,,,
ChemSusChem,,,
ChemTexts,,,
Chernye Metally,,,
Chest,,,
CHI PLAY 2017 - Proceedings of the Annual Symposium on Computer-Human Interaction in Play,,,
CHI PLAY 2017 Extended Abstracts - Extended Abstracts Publication of the Annual Symposium on Computer-Human Interaction in Play,,,
CHI PLAY 2018 - Proceedings of the 2018 Annual Symposium on Computer-Human Interaction in Play,,,
CHI PLAY 2018 - Proceedings of the 2018 Annual Symposium on Computer-Human Interaction in Play Companion Extended Abstracts,,,
CHI PLAY 2019 - Extended Abstracts of the Annual Symposium on Computer-Human Interaction in Play,,,
CHI PLAY 2019 - Proceedings of the Annual Symposium on Computer-Human Interaction in Play,,,
Chiang Mai Journal of Science,,,
Chiang Mai University Journal of Natural Sciences,,,
Chiba Medical Journal,,,
Chicago Review,,,
CHIIR 2017 - Proceedings of the 2017 Conference Human Information Interaction and Retrieval,,,
CHIIR 2019 - Proceedings of the 2019 Conference on Human Information Interaction and Retrieval,,,
CHIIR 2020 - Proceedings of the 2020 Conference on Human Information Interaction and Retrieval,,,
Chikei,,,
Child Abuse and Neglect,,,
Child Abuse Review,,,
Child and Adolescent Mental Health,,,
Child and Adolescent Psychiatric Clinics of North America,,,
Child and Adolescent Psychiatry and Mental Health,,,
Child and Adolescent Social Work Journal,,,
Child and Family Behavior Therapy,,,
Child and Family Social Work,,,
Child and Youth Care Forum,,,
Child and Youth Services,,,
Child Care in Practice,,,
Child Development,,,
Child Development Perspectives,,,
Child Development Research,,,
Child Health Nursing Research,,,
Child Indicators Research,,,
Child Language Teaching and Therapy,,,
Child Maltreatment,,,
Child Neuropsychology,,,
Child Psychiatry and Human Development,,,
"Child: Care	 Health and Development",,,
Childhood,,,
Childhood and Philosophy,,,
Childhood Education,,,
Childhood in the Past,,,
Childhood Obesity,,,
Children and Schools,,,
Children and Society,,,
Children and Youth Services Review,,,
Children Australia,,,
Children's Geographies,,,
Children's Health Care,,,
Children's Literature Association Quarterly,,,
Children's Literature in Education,,,
"Children's Literature	 Culture	 and Cognition",,,
Child's Nervous System,,,
Chilean Journal of Agricultural and Animal Sciences,,,
Chilean Journal of Agricultural Research,,,
Chimia,,,
Chimica Oggi,,,
Chimica Techno Acta,,,
China Agricultural Economic Review,,,
China and World Economy,,,
China Business Review,,,
China Communications,,,
China Economic Journal,,,
China Economic Review,,,
China Finance Review International,,,
China Foundry,,,
China Information,,,
"China International Conference on Electricity Distribution	 CICED",,,
China Journal,,,
China Journal of Accounting Research,,,
China Journal of Accounting Studies,,,
China Journal of Social Work,,,
China Nonprofit Review,,,
China Ocean Engineering,,,
China Perspectives,,,
China Petroleum Exploration,,,
China Petroleum Processing and Petrochemical Technology,,,
China Quarterly,,,
China Quarterly of International Strategic Studies,,,
China Report,,,
China Review,,,
"China Semiconductor Technology International Conference 2017	 CSTIC 2017",,,
"China Semiconductor Technology International Conference 2018	 CSTIC 2018",,,
"China Semiconductor Technology International Conference 2019	 CSTIC 2019",,,
China Studies,,,
China Textile and Apparel,,,
China Welding (English Edition),,,
China: An International Journal,,,
China's Refractories,,,
Chinese Annals of Mathematics. Series B,,,
Chinese as a Second Language Research,,,
Chinese Astronomy and Astrophysics,,,
Chinese Chemical Letters,,,
Chinese Clinical Oncology,,,
"Chinese Control Conference	 CCC",,,
Chinese Economy,,,
Chinese Education and Society,,,
Chinese General Practice,,,
Chinese Geographical Science,,,
Chinese Historical Review,,,
Chinese Journal of Aeronautics,,,
Chinese Journal of Agrometeorology,,,
Chinese Journal of Analytical Chemistry,,,
Chinese Journal of Applied and Environmental Biology,,,
Chinese Journal of Applied Clinical Pediatrics,,,
Chinese Journal of Applied Ecology,,,
Chinese Journal of Applied Linguistics,,,
Chinese Journal of Atmospheric Sciences,,,
Chinese Journal of Biologicals,,,
Chinese Journal of Biomedical Engineering,,,
Chinese Journal of Cancer Biotherapy,,,
Chinese Journal of Cancer Prevention and Treatment,,,
Chinese Journal of Cancer Research (discontinued),,,
Chinese Journal of Cardiology,,,
Chinese Journal of Catalysis,,,
Chinese Journal of Cerebrovascular Diseases,,,
Chinese Journal of Chemical Engineering,,,
Chinese Journal of Chemical Physics,,,
Chinese Journal of Chemistry,,,
Chinese Journal of Chromatography (Se Pu),,,
Chinese Journal of Clinical Nutrition,,,
Chinese Journal of Clinical Oncology,,,
Chinese Journal of Communication,,,
Chinese Journal of Comparative Law,,,
Chinese Journal of Contemporary Neurology and Neurosurgery,,,
Chinese Journal of Contemporary Pediatrics,,,
"Chinese journal of dental research : the official journal of the Scientific Section of the Chinese Stomatological Association (CSA)	 The",,,
Chinese Journal of Dermatology,,,
Chinese Journal of Diabetes Mellitus,,,
Chinese Journal of Digestive Surgery,,,
Chinese Journal of Eco-Agriculture,,,
Chinese Journal of Ecology,,,
Chinese Journal of Electrical Engineering,,,
Chinese Journal of Electronics,,,
Chinese Journal of Emergency Medicine,,,
Chinese Journal of Endemiology,,,
Chinese Journal of Endocrinology and Metabolism,,,
Chinese Journal of Engineering Design,,,
Chinese Journal of Environmental Engineering,,,
Chinese Journal of Evidence-Based Medicine,,,
Chinese Journal of Forensic Medicine,,,
Chinese Journal of Gastroenterology,,,
Chinese Journal of Hepatobiliary Surgery,,,
Chinese Journal of Infection and Chemotherapy,,,
Chinese Journal of Inorganic Chemistry,,,
Chinese Journal of Integrative Medicine,,,
Chinese Journal of International Law,,,
Chinese Journal of International Politics,,,
Chinese Journal of Interventional Imaging and Therapy,,,
Chinese Journal of Laboratory Medicine,,,
Chinese Journal of Liquid Crystals and Displays,,,
Chinese Journal of Luminescence,,,
Chinese Journal of Lung Cancer,,,
Chinese Journal of Mechanical Engineering (English Edition),,,
Chinese Journal of Medical Genetics,,,
Chinese Journal of Medical Imaging Technology,,,
Chinese Journal of Microbiology and Immunology,,,
Chinese Journal of Natural Medicines,,,
Chinese Journal of Neurology,,,
Chinese Journal of Neuromedicine,,,
Chinese Journal of Neurosurgery,,,
Chinese Journal of New Drugs,,,
Chinese Journal of Ocular Fundus Diseases,,,
Chinese Journal of Oncology,,,
Chinese Journal of Ophthalmology,,,
Chinese Journal of Organic Chemistry,,,
Chinese Journal of Orthopaedic Trauma,,,
Chinese Journal of Orthopaedics,,,
Chinese Journal of Pathology,,,
Chinese Journal of Pediatric Surgery,,,
Chinese Journal of Perinatal Medicine,,,
Chinese Journal of Pharmaceutical Biotechnology,,,
Chinese Journal of Pharmacology and Toxicology,,,
Chinese Journal of Physics,,,
Chinese Journal of Physiology,,,
Chinese Journal of Plant Ecology,,,
Chinese Journal of Polymer Science (English Edition),,,
Chinese Journal of Population Resources and Environment,,,
Chinese Journal of Radiological Medicine and Protection,,,
Chinese Journal of Rehabilitation Medicine,,,
Chinese Journal of Rice Science,,,
Chinese Journal of Schistosomiasis Control,,,
Chinese Journal of Sensors and Actuators,,,
Chinese Journal of Ship Research,,,
Chinese Journal of Sociology,,,
Chinese Journal of Tissue Engineering Research,,,
Chinese Journal of Traumatology - English Edition,,,
Chinese Journal of Urology,,,
Chinese Language and Discourse,,,
Chinese Law and Government,,,
Chinese Management Studies,,,
Chinese Medical Journal,,,
Chinese Medical Sciences Journal,,,
Chinese Medicine,,,
Chinese Neurosurgical Journal,,,
Chinese Optics,,,
Chinese Optics Letters,,,
Chinese Overseas,,,
Chinese Pharmaceutical Journal,,,
Chinese Pharmacological Bulletin,,,
Chinese Physics B,,,
Chinese Physics C,,,
Chinese Physics Letters,,,
Chinese Political Science Review,,,
Chinese Rare Earths,,,
Chinese Semiotic Studies,,,
Chinese Sociological Review,,,
Chinese Space Science and Technology,,,
Chinese Studies in History,,,
Chinese Traditional and Herbal Drugs,,,
CHINOPERL: Journal of Chinese Oral and Performing Literature,,,
CHIRA 2017 - Proceedings of the International Conference on Computer-Human Interaction Research and Applications,,,
CHIRA 2018 - Proceedings of the 2nd International Conference on Computer-Human Interaction Research and Applications,,,
CHIRA 2019 - Proceedings of the 3rd International Conference on Computer-Human Interaction Research and Applications,,,
Chirality,,,
Chiron,,,
Chiropractic and Manual Therapies,,,
Chiropractic Journal of Australia,,,
Chirurg,,,
Chirurgia (Romania),,,
Chirurgia (Turin),,,
Chirurgia Polska,,,
Chirurgische Praxis,,,
Cholesterol,,,
Chongqing Daxue Xuebao/Journal of Chongqing University,,,
Choreographic Practices,,,
Christian Bioethics,,,
Christian Education Journal,,,
Christian Higher Education,,,
Christian Journal for Global Health,,,
Chromatographia,,,
Chromosoma,,,
Chromosome Research,,,
Chronic Illness,,,
Chronic Obstructive Pulmonary Diseases,,,
Chronic Respiratory Disease,,,
Chronic Stress,,,
Chronique d'Egypte,,,
Chronobiology International,,,
Chuan Bo Li Xue/Journal of Ship Mechanics,,,
Chungara,,,
Chung-kuo Tsao Chih/China Pulp and Paper,,,
Church History,,,
Church History and Religious Culture,,,
"Church	 Communication and Culture",,,
CIbSE 2017 - XX Ibero-American Conference on Software Engineering,,,
"CICIC 2017 - Septima Conferencia Iberoamericana de Complejidad	 Informatica y Cibernetica	 Memorias",,,
"CICIC 2018 - Octava Conferencia Iberoamericana de Complejidad	 Informatica y Cibernetica	 Memorias",,,
"CICIC 2019 - Novena Conferencia Iberoamericana de Complejidad	 Informatica y Cibernetica	 Memorias",,,
"CICTP 2018: Intelligence	 Connectivity	 and Mobility - Proceedings of the 18th COTA International Conference of Transportation Professionals",,,
CICTP 2019: Transportation in China - Connecting the World - Proceedings of the 19th COTA International Conference of Transportation Professionals,,,
Cidades,,,
CIDR 2017 - 8th Biennial Conference on Innovative Data Systems Research,,,
CIDR 2019 - 9th Biennial Conference on Innovative Data Systems Research,,,
CIEEC 2017 - Proceedings of 2017 China International Electrical and Energy Conference,,,
Ciencia and Engenharia/ Science and Engineering Journal,,,
Ciencia Animal Brasileira,,,
Ciencia da Informacao,,,
Ciencia del Suelo,,,
Ciencia e Agrotecnologia,,,
Ciencia e Investigacion Agraria,,,
Ciencia e Saude Coletiva,,,
Ciencia e Tecnica Vitivinicola,,,
Ciencia e Tecnologia dos Materiais,,,
Ciencia Florestal,,,
Ciencia Rural,,,
Ciencia y Enfermeria,,,
Ciencias Marinas,,,
Cientifica,,,
CIFEr 2019 - IEEE Conference on Computational Intelligence for Financial Engineering and Economics,,,
CIGRE Science and Engineering,,,
Cilia,,,
CIM Magazine,,,
CIN - Computers Informatics Nursing,,,
Cincinnati Romance Review,,,
Cineforum,,,
Cinema,,,
Cinemas d'Amerique Latine,,,
Cinta de Moebio,,,
CINTI 2016 - 17th IEEE International Symposium on Computational Intelligence and Informatics: Proceedings,,,
CIPS 2016 - 9th International Conference on Integrated Power Electronics Systems,,,
Circuit World,,,
"Circuits	 Systems	 and Signal Processing",,,
Circular Farmaceutica,,,
Circulation,,,
Circulation Journal,,,
Circulation Research,,,
Circulation. Genomic and precision medicine,,,
Circulation: Arrhythmia and Electrophysiology,,,
Circulation: Cardiovascular Imaging,,,
Circulation: Cardiovascular Interventions,,,
Circulation: Cardiovascular Quality and Outcomes,,,
Circulation: Heart Failure,,,
Circulo de Linguistica Aplicada a la Comunicacion,,,
CIRED - Open Access Proceedings Journal,,,
"CIRIEC-Espana Revista de Economia Publica	 Social y Cooperativa",,,
CIRP Annals - Manufacturing Technology,,,
CIRP Journal of Manufacturing Science and Technology,,,
Cirugia Cardiovascular,,,
Cirugia Espanola,,,
Cirugia pediatrica : organo oficial de la Sociedad Espanola de Cirugia Pediatrica,,,
Cirugia Plastica Ibero-Latinoamericana,,,
Cirugia y Cirujanos,,,
CIS Iron and Steel Review,,,
"CISCI 2017 - Decima Sexta Conferencia Iberoamericana en Sistemas	 Cibernetica e Informatica	 Decimo Cuarto Simposium Iberoamericano en Educacion	 Cibernetica e Informatica	 SIECI 2017 - Memorias",,,
"CISCI 2018 - Decima Septima Conferencia Iberoamericana en Sistemas	 Cibernetica e Informatica	 Decimo Quinto Simposium Iberoamericano en Educacion	 Cibernetica e Informatica	 SIECI 2018 - Memorias",,,
"CISCI 2019 - Decima Octava Conferencia Iberoamericana en Sistemas	 Cibernetica e Informatica	 Decimo Sexto Simposium Iberoamericano en Educacion	 Cibernetica e Informatica - Memorias",,,
"CISM International Centre for Mechanical Sciences	 Courses and Lectures",,,
Citeaux,,,
Cithara,,,
Cities,,,
"CitiFog 2018 - Proceedings of the 1st Workshop on Smart Cities and Fog Computing	 Part of SenSys 2018",,,
Citizenship Studies,,,
Citizenship Teaching and Learning,,,
"Citizenship	 Social and Economics Education",,,
"CITS 2018 - 2018 International Conference on Computer	 Information and Telecommunication Systems",,,
"CITS 2019 - Proceeding of the 2019 International Conference on Computer	 Information and Telecommunication Systems",,,
Citta e Storia,,,
City,,,
City and Community,,,
City and Society,,,
"City	 Culture and Society",,,
"City	 Territory and Architecture",,,
Ciudad y Territorio Estudios Territoriales,,,
Ciudades,,,
"CIVEMSA 2018 - 2018 IEEE International Conference on Computational Intelligence and Virtual Environments for Measurement Systems and Applications	 Proceedings",,,
Civil and Environmental Engineering,,,
Civil Engineering,,,
Civil Engineering and Architecture,,,
Civil Engineering and Environmental Systems,,,
Civil War History,,,
Civil Wars,,,
Civil-Comp Proceedings,,,
Civilistica.com,,,
Civitas,,,
CJC Open,,,
CKJ: Clinical Kidney Journal,,,
CLA Journal,,,
Cladistics,,,
Classica et Christiana,,,
Classica et Mediaevalia,,,
Classical and Quantum Gravity,,,
Classical Antiquity,,,
Classical Journal,,,
Classical Philology,,,
Classical Quarterly,,,
Classical Receptions Journal,,,
Classical World,,,
Classroom Discourse,,,
Clavier Companion,,,
Clay Minerals,,,
Clay Research (discontinued),,,
Clays and Clay Minerals,,,
CLCWeb - Comparative Literature and Culture,,,
"Clean - Soil	 Air	 Water",,,
Clean Air and Containment Review,,,
Clean Air Journal,,,
Clean Energy,,,
Clean Technologies and Environmental Policy,,,
Cleanroom Technology,,,
Cleft Palate-Craniofacial Journal,,,
"Clemson University Power Systems Conference	 PSC 2018",,,
Cleveland Clinic Journal of Medicine,,,
Cleveland state law review,,,
Climacteric,,,
Climate,,,
Climate and Development,,,
Climate Change Economics,,,
Climate Dynamics,,,
Climate Law,,,
Climate of the Past,,,
Climate Policy,,,
Climate Research,,,
Climate Risk Management,,,
Climate Services,,,
Climatic Change,,,
Clinica Chimica Acta,,,
Clinica e Investigacion en Arteriosclerosis,,,
Clinica e Investigacion en Ginecologia y Obstetricia,,,
Clinica Terapeutica,,,
Clinica y Salud,,,
Clinical Advances in Hematology and Oncology,,,
Clinical advances in periodontics,,,
Clinical Anatomy,,,
Clinical and Applied Thrombosis/Hemostasis,,,
Clinical and Experimental Allergy,,,
Clinical and Experimental Dental Research,,,
Clinical and Experimental Dermatology,,,
Clinical and Experimental Emergency Medicine,,,
Clinical and Experimental Gastroenterology,,,
Clinical and Experimental Hepatology,,,
Clinical and Experimental Hypertension,,,
Clinical and Experimental Immunology,,,
Clinical and Experimental Medicine,,,
Clinical and Experimental Metastasis,,,
Clinical and Experimental Nephrology,,,
Clinical and Experimental Neuroimmunology,,,
Clinical and Experimental Obstetrics and Gynecology,,,
Clinical and Experimental Ophthalmology,,,
Clinical and Experimental Optometry,,,
Clinical and Experimental Otorhinolaryngology,,,
Clinical and Experimental Pharmacology and Physiology,,,
Clinical and Experimental Reproductive Medicine,,,
Clinical and Experimental Rheumatology,,,
Clinical and Experimental Surgery,,,
Clinical and Experimental Vaccine Research,,,
Clinical and Investigative Medicine,,,
Clinical and Molecular Allergy,,,
Clinical and Molecular Hepatology,,,
Clinical and Translational Allergy,,,
Clinical and Translational Gastroenterology,,,
Clinical and Translational Imaging,,,
Clinical and Translational Immunology,,,
Clinical and Translational Medicine,,,
Clinical and Translational Oncology,,,
Clinical and Translational Radiation Oncology,,,
Clinical and Translational Science,,,
Clinical and Vaccine Immunology,,,
Clinical Archives of Communication Disorders,,,
Clinical Autonomic Research,,,
Clinical Biochemist Reviews,,,
Clinical Biochemistry,,,
Clinical Biomechanics,,,
Clinical Breast Cancer,,,
Clinical calcium,,,
Clinical Cancer Research,,,
Clinical Cardiology,,,
Clinical Case Reports,,,
Clinical Case Studies,,,
Clinical Cases in Mineral and Bone Metabolism,,,
Clinical Chemistry,,,
Clinical Chemistry and Laboratory Medicine,,,
Clinical Child and Family Psychology Review,,,
